---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: large-sample2.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2708513
'total number of distinct words'= 45744
'popular_threshold_word': 2288
'common_threshold_l_word': 21728
'common_threshold_u_word': 24016
'rare_threshold_word': 43456
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 246|       morning|     1169|
| 247|          rest|     1165|
| 248|        looked|     1152|
| 249|        person|     1149|
| 250|       chapter|     1142|
| 251|       against|     1140|
| 252|          side|     1128|
| 253|           god|     1128|
| 254|          joan|     1123|
| 255|        couldn|     1123|
| 256|        letter|     1121|
| 257|          soon|     1113|
| 258|         river|     1100|
| 259|          read|     1097|
| 260|         among|     1094|
| 261|          full|     1091|
| 262|          city|     1091|
| 263|          dear|     1086|
| 264|          room|     1084|
| 265|         miles|     1084|
| 266|          gave|     1084|
| 267|          town|     1075|
| 268|         words|     1072|
| 269|          talk|     1067|
| 270|         stood|     1066|
| 271|        twenty|     1064|
| 272|          sort|     1056|
| 273|          hour|     1054|
| 274|           ain|     1051|
| 275|        turned|     1048|
| 276|         white|     1048|
| 277|          year|     1046|
| 278|      business|     1041|
| 279|          best|     1038|
| 280|          both|     1027|
| 281|          fact|     1020|
| 282|        called|     1016|
| 283|        pretty|     1014|
| 284|       english|      997|
| 285|           boy|      991|
| 286|           ten|      988|
| 287|      together|      985|
| 288|         death|      983|
| 289|     presently|      979|
| 290|          land|      976|
| 291|           six|      972|
| 292|         since|      972|
| 293|        family|      970|
| 294|           few|      965|
| 295|         twain|      961|
| 296|       believe|      956|
| 297|          used|      954|
| 298|          lost|      943|
| 299|         until|      942|
| 300|          case|      940|
| 301|        cannot|      933|
| 302|        mother|      932|
| 303|         asked|      931|
| 304|        others|      923|
| 305|          help|      913|
| 306|          part|      913|
| 307|        church|      911|
| 308|          idea|      910|
| 309|          hear|      902|
| 310|          body|      893|
| 311|       brought|      887|
| 312|          mean|      883|
| 313|       general|      882|
| 314|        father|      873|
| 315|       between|      867|
| 316|         stand|      865|
| 317|      children|      862|
| 318|           use|      861|
| 319|         child|      858|
| 320|      interest|      855|
| 321|        wanted|      855|
| 322|          love|      852|
| 323|          call|      850|
| 324|        though|      850|
| 325|       several|      849|
| 326|     everybody|      847|
| 327|          true|      846|
| 328|        wouldn|      845|
| 329|    everything|      839|
| 330|         hours|      836|
| 331|       dollars|      835|
| 332|         small|      834|
| 333|            st|      828|
| 334|         woman|      828|
| 335|            en|      826|
| 336|        almost|      821|
| 337|         light|      817|
| 338|        toward|      811|
| 339|          sure|      811|
| 340|     beautiful|      809|
| 341|           eye|      805|
| 342|         above|      803|
| 343|         whose|      803|
| 344|        itself|      799|
| 345|          fell|      799|
| 346|          door|      798|
| 347|        friend|      797|
| 348|          fine|      790|
| 349|          none|      775|
| 350|       friends|      771|
| 351|          kept|      770|
| 352|     sometimes|      769|
| 353|          york|      767|
| 354|         human|      765|
| 355|       perhaps|      759|
| 356|         large|      758|
| 357|          feel|      758|
| 358|        during|      752|
| 359|           sat|      750|
| 360|         leave|      748|
| 361|          deep|      748|
| 362|         state|      747|
| 363|          seem|      745|
| 364|         speak|      744|
| 365|        indeed|      743|
| 366|          turn|      742|
| 367|           nor|      741|
| 368|          show|      741|
| 369|         quite|      737|
| 370|        ground|      735|
| 371|           lay|      732|
| 372|          hard|      730|
| 373|          boys|      728|
| 374|         tried|      725|
| 375|          sent|      724|
| 376|         horse|      724|
| 377|        behind|      722|
| 378|       trouble|      720|
| 379|          mine|      712|
| 380|    themselves|      707|
| 381|        nobody|      706|
| 382|          near|      703|
| 383|         story|      702|
| 384|         ready|      701|
| 385|         voice|      701|
| 386|        public|      695|
| 387|       history|      693|
| 388|       looking|      692|
| 389|           bed|      692|
| 390|         fifty|      692|
| 391|         black|      690|
| 392|          girl|      688|
| 393|        chance|      687|
| 394|        saying|      686|
| 395|          else|      685|
| 396|         wrote|      683|
| 397|          fire|      677|
| 398|         point|      676|
| 399|       present|      675|
| 400|           law|      673|
| 401|      remember|      672|
| 402|          lord|      671|
| 403|           jim|      669|
| 404|          week|      668|
| 405|           try|      668|
| 406|       however|      666|
| 407|         happy|      665|
| 408|         worth|      664|
| 409|        within|      663|
| 410|          hold|      663|
| 411|          able|      661|
| 412|       anybody|      658|
| 413|          wish|      658|
| 414|           big|      655|
| 415|           sea|      654|
| 416|       herself|      649|
| 417|       getting|      648|
| 418|        except|      648|
| 419|        months|      646|
| 420|         order|      646|
| 421|         ought|      645|
| 422|        thirty|      644|
| 423|       england|      643|
| 424|         taken|      641|
| 425|          felt|      640|
| 426|           air|      638|
| 427|        coming|      637|
| 428|         comes|      637|
| 429|        passed|      636|
| 430|           run|      634|
| 431|          glad|      631|
| 432|          deal|      630|
| 433|          hope|      628|
| 434|         later|      628|
| 435|       company|      626|
| 436|     christian|      625|
| 437|          wife|      625|
| 438|           war|      624|
| 439|         write|      624|
| 440|       started|      621|
| 441|    washington|      620|
| 442|       minutes|      618|
| 443|          ship|      617|
| 444|        answer|      617|
| 445|          free|      616|
| 446|           pay|      614|
| 447|          open|      612|
| 448|        spirit|      604|
| 449|         makes|      604|
| 450|         women|      601|
| 451|          boat|      601|
| 452|         seems|      600|
| 453|           won|      599|
| 454|         seven|      598|
| 455|       howells|      598|
| 456|          live|      597|
| 457|       letters|      594|
| 458|        making|      594|
| 459|        second|      593|
| 460|            re|      592|
| 461|         doubt|      592|
| 462|         sight|      591|
| 463|         noble|      590|
| 464|           ask|      586|
| 465|      american|      581|
| 466|    government|      579|
| 467|            ye|      577|
| 468|          line|      575|
| 469|        nearly|      573|
| 470|        speech|      565|
| 471|         truth|      564|
| 472|         paper|      563|
| 473|       village|      563|
| 474|        trying|      562|
| 475|          foot|      562|
| 476|         court|      561|
| 477|         close|      560|
| 478|           sun|      560|
| 479|         often|      560|
| 480|        having|      559|
| 481|         sleep|      559|
| 482|         forty|      557|
| 483|        nature|      557|
| 484|    understand|      553|
| 485|         earth|      552|
| 486|         books|      550|
| 487|       certain|      550|
| 488|       finally|      550|
| 489|         alone|      549|
| 490|         known|      547|
| 491|        really|      545|
| 492|       suppose|      545|
| 493|         least|      543|
| 494|          rich|      543|
| 495|        reason|      541|
| 496|          warn|      539|
| 497|         front|      538|
| 498|         judge|      537|
| 499|         eight|      536|
| 500|       written|      536|
| 501|      followed|      536|
| 502|         sound|      535|
| 503|          care|      530|
| 504|        strong|      528|
| 505|       already|      527|
| 506|        across|      523|
| 507|          dark|      522|
| 508|         given|      521|
| 509|          wait|      521|
| 510|        minute|      521|
| 511|        office|      520|
| 512|          road|      519|
| 513|     therefore|      519|
| 514|         doing|      519|
| 515|      happened|      516|
| 516|           lie|      515|
| 517|           dog|      515|
| 518|          send|      514|
| 519|          less|      513|
| 520|          cold|      507|
| 521|        reckon|      507|
| 522|           die|      506|
| 523|       america|      506|
| 524|       picture|      505|
| 525|       reached|      502|
| 526|           low|      502|
| 527|           isn|      502|
| 528|            ah|      501|
| 529|       arrived|      501|
| 530|       brother|      500|
| 531|       account|      500|
| 532|        change|      500|
| 533|         knows|      500|
| 534|       science|      499|
| 535|          rose|      499|
| 536|        hardly|      499|
| 537|       captain|      498|
| 538|        france|      497|
| 539|          whom|      497|
| 540|       further|      496|
| 541|        become|      495|
| 542|         moved|      495|
| 543|      stranger|      494|
| 544|        merely|      494|
| 545|        rather|      493|
| 546|          goes|      493|
| 547|         table|      493|
| 548|         short|      491|
| 549|          wide|      491|
| 550|        struck|      490|
| 551|         grand|      488|
| 552|           age|      488|
| 553|          hadn|      486|
| 554|       stopped|      485|
| 555|        street|      485|
| 556|        mighty|      484|
| 557|          note|      484|
| 558|          thus|      483|
| 559|        couple|      482|
| 560|         plain|      482|
| 561|          laid|      480|
| 562|          gold|      479|
| 563|          save|      479|
| 564|           bad|      476|
| 565|         maybe|      473|
| 566|      yourself|      473|
| 567|         clear|      472|
| 568|     character|      472|
| 569|         early|      472|
| 570|          died|      472|
| 571|        either|      471|
| 572|          born|      471|
| 573|          easy|      471|
| 574|          need|      468|
| 575|       strange|      467|
| 576|          lady|      466|
| 577|          fair|      466|
| 578|          vast|      465|
| 579|         stone|      463|
| 580|          stay|      463|
| 581|          late|      460|
| 582|       whether|      460|
| 583|      straight|      459|
| 584|          held|      459|
| 585|         broke|      458|
| 586|          form|      456|
| 587|        heaven|      454|
| 588|          nine|      454|
| 589|        fellow|      454|
| 590|         weeks|      452|
| 591|        single|      452|
| 592|      question|      452|
| 593|         hotel|      452|
| 594|        school|      450|
| 595|     perfectly|      450|
| 596|          wasn|      450|
| 597|        french|      449|
| 598|       evening|      449|
| 599|          real|      449|
| 600|         begin|      448|
| 601|           thy|      446|
| 602|       subject|      445|
| 603|      distance|      445|
| 604|       carried|      445|
| 605|          thou|      445|
| 606|         power|      444|
| 607|         honor|      443|
| 608|     gentlemen|      442|
| 609|       clothes|      442|
| 610|          huck|      441|
| 611|         clock|      441|
| 612|     gentleman|      439|
| 613|        please|      438|
| 614|         party|      437|
| 615|          bill|      437|
| 616|           red|      437|
| 617|            th|      436|
| 618|          ones|      435|
| 619|      pleasant|      434|
| 620|          stop|      433|
| 621|          play|      433|
| 622|         blood|      433|
| 623|     different|      431|
| 624|        master|      431|
| 625|         added|      431|
| 626|        philip|      430|
| 627|        dinner|      429|
| 628|       outside|      429|
| 629|        places|      428|
| 630|          hair|      427|
| 631|          soul|      427|
| 632|      believed|      426|
| 633|      thinking|      425|
| 634|        result|      424|
| 635|          ways|      424|
| 636|         watch|      423|
| 637|       talking|      423|
| 638|           cut|      423|
| 639|     certainly|      423|
| 640|         start|      421|
| 641|         chief|      421|
| 642|         names|      421|
| 643|        sunday|      421|
| 644|       fifteen|      419|
| 645|         uncle|      419|
| 646|        summer|      418|
| 647|       feeling|      418|
| 648|         awful|      416|
| 649|          past|      414|
| 650|         floor|      413|
| 651|        became|      412|
| 652|        twelve|      411|
| 653|           son|      409|
| 654|          news|      409|
| 655|          arms|      409|
| 656|           sit|      409|
| 657|         bring|      407|
| 658|        remark|      405|
| 659|        wilson|      404|
| 660|         means|      404|
| 661|          bear|      404|
| 662|      language|      402|
| 663|       curious|      402|
| 664|      received|      402|
| 665|       ancient|      401|
| 666|         month|      401|
| 667|         third|      401|
| 668|     attention|      401|
| 669|         laura|      400|
| 670|        middle|      400|
| 671|       private|      399|
| 672|           art|      398|
| 673|          wild|      397|
| 674|          mile|      397|
| 675|        afraid|      397|
| 676|          race|      396|
| 677|       entered|      396|
| 678|         board|      395|
| 679|        effect|      395|
| 680|      standing|      393|
| 681|         piece|      393|
| 682|         storm|      392|
| 683|      presence|      391|
| 684|          tree|      391|
| 685|        ladies|      389|
| 686|        common|      389|
| 687|       colonel|      389|
| 688|        beyond|      388|
| 689|     beginning|      388|
| 690|         sense|      388|
| 691|     following|      387|
| 692|         lived|      387|
| 693|         tears|      387|
| 694|           top|      386|
| 695|        killed|      385|
| 696|       waiting|      385|
| 697|        german|      383|
| 698|        prince|      382|
| 699|         round|      381|
| 700|        anyway|      381|
| 701|           act|      380|
| 702|         built|      380|
| 703|           dat|      380|
| 704|          self|      379|
| 705|        london|      379|
| 706|       allowed|      378|
| 707|          john|      377|
| 708|       perfect|      377|
| 709|          view|      377|
| 710|          pass|      376|
| 711|         peace|      375|
| 712|        memory|      375|
| 713|          blue|      375|
| 714|         louis|      374|
| 715|      probably|      373|
| 716|        longer|      373|
| 717|      pleasure|      373|
| 718|        broken|      373|
| 719|          thee|      373|
| 720|        nation|      371|
| 721|         dream|      370|
| 722|       instead|      369|
| 723|          kill|      369|
| 724|        return|      369|
| 725|          hill|      369|
| 726|        taking|      369|
| 727|       weather|      368|
| 728|         mouth|      368|
| 729|       neither|      368|
| 730|          eddy|      367|
| 731|          paid|      366|
| 732|        doctor|      366|
| 733|         break|      366|
| 734|         forth|      365|
| 735|        george|      364|
| 736|          fall|      364|
| 737|       natural|      364|
| 738|      finished|      364|
| 739|        living|      362|
| 740|       writing|      362|
| 741|       opinion|      362|
| 742|          duty|      361|
| 743|       silence|      361|
| 744|          miss|      361|
| 745|        simple|      359|
| 746|     satisfied|      359|
| 747|          sick|      359|
| 748|      somebody|      359|
| 749|         usual|      358|
| 750|          duke|      358|
| 751|         tired|      358|
| 752|      appeared|      358|
| 753|     wonderful|      357|
| 754|          rock|      355|
| 755|        wonder|      354|
| 756|        notice|      354|
| 757|        talked|      353|
| 758|        silver|      352|
| 759|        showed|      352|
| 760|       forward|      351|
| 761|        simply|      350|
| 762|         train|      350|
| 763|      hartford|      349|
| 764|    experience|      349|
| 765|        plenty|      349|
| 766|          walk|      348|
| 767|          sign|      347|
| 768|          holy|      345|
| 769|          shot|      345|
| 770|      possible|      344|
| 771|      creature|      344|
| 772|           lot|      344|
| 773|          trip|      343|
| 774|         smoke|      343|
| 775|           eat|      343|
| 776|          mere|      342|
| 777|        states|      342|
| 778|          aunt|      342|
| 779|       hawkins|      342|
| 780|       dropped|      341|
| 781|         spoke|      341|
| 782|      position|      341|
| 783|           met|      340|
| 784|           hot|      339|
| 785|        battle|      339|
| 786|        manner|      339|
| 787|         yours|      338|
| 788|        likely|      337|
| 789|         below|      337|
| 790|     necessary|      337|
| 791|         music|      336|
| 792|       learned|      336|
