---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-f.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2915891
'total number of distinct words'= 46748
'popular_threshold_word': 2338
'common_threshold_l_word': 22205
'common_threshold_u_word': 24543
'rare_threshold_word': 44410
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 246|       neither|     1299|
| 247|          till|     1298|
| 248|         began|     1295|
| 249|           end|     1288|
| 250|          says|     1278|
| 251|          soon|     1277|
| 252|          half|     1269|
| 253|          each|     1260|
| 254|         water|     1252|
| 255|          love|     1252|
| 256|          door|     1245|
| 257|       country|     1237|
| 258|          hear|     1232|
| 259|         works|     1231|
| 260|         money|     1226|
| 261|    themselves|     1225|
| 262|          seen|     1224|
| 263|           bed|     1224|
| 264|        seemed|     1223|
| 265|       hundred|     1220|
| 266|        having|     1220|
| 267|           mrs|     1213|
| 268|           use|     1209|
| 269|         stood|     1188|
| 270|          sons|     1179|
| 271|          mind|     1170|
| 272|          keep|     1170|
| 273|           tom|     1168|
| 274|        better|     1157|
| 275|           few|     1156|
| 276|         david|     1145|
| 277|        myself|     1123|
| 278|          fire|     1121|
| 279|           far|     1120|
| 280|        others|     1117|
| 281|           war|     1114|
| 282|        turned|     1113|
| 283|         until|     1111|
| 284|         whole|     1110|
| 285|         taken|     1109|
| 286|         round|     1107|
| 287|          felt|     1105|
| 288|         moses|     1092|
| 289|          five|     1092|
| 290|         voice|     1092|
| 291|          hast|     1079|
| 292|     something|     1072|
| 293|        cannot|     1072|
| 294|          pass|     1071|
| 295|        spirit|     1069|
| 296|           yes|     1064|
| 297|          year|     1063|
| 298|          four|     1058|
| 299|          girl|     1058|
| 300|          want|     1058|
| 301|        nature|     1055|
| 302|         death|     1055|
| 303|         bring|     1054|
| 304|          mine|     1048|
| 305|          high|     1047|
| 306|     according|     1045|
| 307|          used|     1043|
| 308|       thereof|     1038|
| 309|        common|     1037|
| 310|          body|     1037|
| 311|        enough|     1029|
